f,name,price,energy,protein,fat,carbo,salt,calcium,veg,iron,va,vb1,vb2,vc,place,category
f80,ほうれん草,77,14,1.8,0.2,2.1,0.2,63,63,0.8,275,0.04,0.08,12,p3,c2
f81,小松菜と揚げ生姜風味,99,33,2.1,1.1,3.6,0.9,70,39,1,100,0.02,0.03,13,p3,c2
f82,ほうれん草ごまナムル,99,45,2,2.6,4,0.6,61,54,0.7,162,0.03,0.04,6,p3,c2
f83,蒸し鶏と若布の生姜ポン酢,99,42,5.6,0.5,4.9,0.8,23,25,0.3,6,0.04,0.03,4,p3,c2
f84,だし巻き,77,98,6.2,6.1,3.5,1,25,0,0.8,111,0.04,0.04,0,p3,c2
f85,納豆,55,63,5.5,3.2,4.3,0.4,28,0,1,0,0.02,0.17,0,p3,c2
f86,生チョコケーキ【午後】,176,98,1.5,5.9,9.6,0,16,0,0.3,32,0.02,0.05,0,p3,c2
f87,かりんとう饅頭,132,176,2.8,3.1,34,0.4,9,0,0.3,0,0.04,0.02,0,p3,c2
f88,大学芋,110,157,0.6,3.2,31.7,0,15,0,0.3,1,0.05,0.03,10,p3,c2
f89,焼きプリンタルト,88,125,1.8,7,13.3,0.1,42,0,0.1,13,0.02,0.06,0,p3,c2
f90,韓国風冷しゃぶサラダ【夕食】,198,161,10,10.8,7.6,1.3,34,83,0.7,5,0.35,0.13,10,p3,c2
f91,味噌汁,44,38,2.1,1.9,2.8,1.2,28,0,0.5,1,0,0.01,0,p3,c2
f92,夏のさっぱり豚汁,121,75,5.4,4.2,5.5,1.8,37,65,0.4,109,0.16,0.07,7,p3,c2
f93,かけうどん,264,331,7.5,1.3,72.4,4.2,26,5,0.7,6,0.05,0.05,2,p3,c3
f94,かけそば,264,321,13.6,2,62.5,3.4,26,5,1.6,6,0.1,0.06,2,p3,c3
f95,かき揚げうどん,352,449,8.2,9.7,82.1,4.3,36,30,0.9,146,0.07,0.06,4,p3,c3
f96,かき揚げそば,352,439,14.3,10.4,72.2,3.5,36,30,1.8,146,0.12,0.07,4,p3,c3
f97,冷やし山かけうどん,396,373,9.7,1.5,81.1,3.9,40,5,1,29,0.12,0.09,7,p3,c3
f98,冷やし山かけそば,396,363,15.8,2.2,71.2,3.1,40,5,1.9,29,0.17,0.1,7,p3,c3
f99,冷やし担々麺,506,596,20.9,20,83.4,4.5,186,60,2.7,126,0.24,0.16,9,p3,c3
f100,カレーライス中,319,566,10.5,10.6,109.9,3.8,37,12,1.3,53,0.09,0.06,1,p3,c4
f101,チキンカツカレー中,440,883,26.5,31,127.2,4.5,45,12,1.8,63,0.16,0.12,3,p3,c4
f102,本格麻婆丼中,440,657,21.3,18.8,106,3.4,80,5,3.2,39,0.32,0.16,2,p3,c4
f103,まぐろ丼中,572,496,21.7,4.2,95.4,2,31,5,1.8,30,0.13,0.06,4,p3,c4
f104,ピリ辛サーモン丼中,495,562,20.7,13.2,94.9,2.9,53,5,1.8,130,0.59,0.62,5,p3,c4
f105,Ｈ）チキンルンダン,638,912,24.7,29,141,1.8,38,48,2.5,29,0.19,0.2,5,p3,c4
f106,鶏からおろしポン酢定食（小鉢1品付）【月曜日】,480,555,18.3,23.8,65.9,4.1,68,55,1.5,29,0.12,0.16,17,p3,c10
f107,チキンカツチリソース定食（小鉢1品付）【火曜日】,480,577,21.2,26.4,65.3,2.4,55,33,1.3,15,0.1,0.09,16,p3,c10
f108,白身魚フライ玉子あん定食（小鉢1品付）【水曜日】,480,681,17.5,37.8,56.5,2.8,71,33,1,13,0.11,0.14,14,p3,c10
f109,トンカツおろしソース定食（小鉢1品付）【木曜日】,530,602,20.1,28.3,67.1,3.6,60,49,1.2,8,0.44,0.12,17,p3,c10
f110,ササミチーズカツ定食（小鉢1品）【金曜日】,480,643,19,34.9,65.5,3.1,119,33,1.2,37,0.09,0.12,15,p3,c10
f111,ライス大,147,484,7.8,0.9,115,0,9,0,0.3,0,0.06,0.03,0,p3,c7
f112,ライス中,126,374,6,0.7,89,0,7,0,0.2,0,0.05,0.02,0,p3,c7
f113,ライス小,105,265,4.3,0.5,63.1,0,5,0,0.2,0,0.03,0.02,0,p3,c7
f114,ライスミニ,84,156,2.5,0.3,37.1,0,3,0,0.1,0,0.02,0.01,0,p3,c7
f115,鶏と茄子の山賊炒め,286,451,12.9,34.4,26.4,1.8,51,194,1.7,41,0.14,0.16,58,p4,c1
f116,ビーフシチュー,286,297,9.6,16.3,30.7,1.7,26,80,1.4,198,0.15,0.1,28,p4,c1
f117,和風からあげ,330,528,30.5,35.8,22.3,1.6,14,0,1.3,-1,0.18,0.27,11,p4,c1
f118,鯖味噌煮,242,209,10,15.1,6.7,0.7,8,0,0.6,25,0.08,0.2,1,p4,c1
f119,Ｅチキンカツ柚子胡椒マヨ,242,394,16.5,28.6,17.9,1.3,11,0,0.6,16,0.07,0.07,2,p4,c1
f120,Eローストンカツ玉子あんかけ,286,406,16,27.9,21.8,1.4,11,0,0.5,10,0.4,0.12,0,p4,c1
f121,Eハンバーグサルサソース,242,223,14.9,11.1,14.5,1.7,36,23,1.3,36,0.14,0.13,9,p4,c1
f122,タコキャベツカツ,198,224,6.5,14.6,16.3,0.9,19,17,0.9,10,0.05,0.03,7,p4,c1
f123,ハッシュポテト,121,143,2.4,7.6,16.3,0.9,30,0,0.3,12,0.06,0.36,22,p4,c1
f124,蒸し鶏サラダ,121,47,4.8,0.7,7,0.2,19,60,0.3,4,0.06,0.04,18,p4,c2
f125,オクラ巣ごもり玉子,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,p4,c2
f126,小松菜と揚げ生姜風味,99,33,2.1,1.1,3.6,0.9,70,39,1,100,0.02,0.03,13,p4,c2
f127,鶏と枝豆のたんぱく和え,99,90,8.1,3.7,7.8,0.7,30,40,1,7,0.11,0.07,9,p4,c2
f128,ほうれん草ごまナムル,99,45,2,2.6,4,0.6,61,54,0.7,162,0.03,0.04,6,p4,c2
f129,ほうれん草,77,14,1.8,0.2,2.1,0.2,63,63,0.8,275,0.04,0.08,12,p4,c2
f130,ミニサラダ,55,6,0.3,0.1,1.6,0,11,33,0.1,7,0.01,0.01,9,p4,c2
f131,冷奴,55,47,4.4,2.9,2,0.1,26,1,1,1,0.09,0.03,8,p4,c2
f132,味噌汁,44,38,2.1,1.9,2.8,1.2,28,0,0.5,1,0,0.01,0,p4,c2
f133,さっぱり豚おろしうどん,396,485,13.3,12.7,78,4.3,25,8,1,9,0.25,0.1,3,p4,c3
f134,かき揚げうどん,352,449,8.2,9.7,82.1,4.3,36,30,0.9,146,0.07,0.06,4,p4,c3
f135,かき揚げそば,352,439,14.3,10.4,72.2,3.5,36,30,1.8,146,0.12,0.07,4,p4,c3
f136,かけうどん,264,331,7.5,1.3,72.4,4.2,26,5,0.7,6,0.05,0.05,2,p4,c3
f137,かけそば,264,321,13.6,2,62.5,3.4,26,5,1.6,6,0.1,0.06,2,p4,c3
f138,まぐとろキムチ丼中,495,493,15.8,5.4,99.3,1.9,38,37,1.2,37,0.15,0.1,12,p4,c4
f139,まぐとろキムチ丼小,440,349,11.1,3.8,70.4,1.4,26,26,0.9,25,0.1,0.08,8,p4,c4
f140,チキンカツ南蛮丼中,440,863,23.1,35.6,115.6,3.1,32,30,0.9,16,0.13,0.1,14,p4,c4
f141,チキンカツ南蛮丼小,385,545,13.2,20.8,78.3,2.1,20,21,0.7,9,0.08,0.07,10,p4,c4
f142,欧風カレー,473,601,13.6,15.3,105.6,2.3,32,43,0.9,14,0.09,0.07,4,p4,c4
f143,欧風チーズカレー,594,745,23.4,26.5,106.3,2.9,255,43,1,85,0.1,0.18,4,p4,c4
f144,生チョコケーキ,176,98,1.5,5.9,9.6,0,16,0,0.3,32,0.02,0.05,0,p4,c5
f145,大学芋,110,157,0.6,3.2,31.7,0,15,0,0.3,1,0.05,0.03,10,p4,c5
f146,焼きプリンタルト,88,125,1.8,7,13.3,0.1,42,0,0.1,13,0.02,0.06,0,p4,c5
f147,つけ麺（魚介）,594,822,-1,-1,-1,9.5,-1,-1,-1,-1,-1,-1,-1,p4,c11
f148,つけ麺(辛味みそ）,594,773,-1,-1,-1,6.1,-1,-1,-1,-1,-1,-1,-1,p4,c11
f149,ケバブプレート,594,646,24.3,17.4,102.9,1.9,24,30,1.1,46,0.21,0.2,25,p4,c6
f150,トンテキ風ソテー,418,397,24.5,27.6,11.9,2.7,25,30,0.8,17,0.85,0.21,10,p4,c6
f151,ライス大,147,484,7.8,0.9,115,0,9,0,0.3,0,0.06,0.03,0,p4,c7
f152,ライス中,126,374,6,0.7,89,0,7,0,0.2,0,0.05,0.02,0,p4,c7
f153,ライス小,105,265,4.3,0.5,63.1,0,5,0,0.2,0,0.03,0.02,0,p4,c7
f154,ライスミニ,84,156,2.5,0.3,37.1,0,3,0,0.1,0,0.02,0.01,0,p4,c7
f155,Ｅササミチーズカツデミソース,242,350,14,22.7,23.5,1.5,75,0,0.5,34,0.07,0.08,1,p4,c8
f156,鯖味噌煮,242,209,10,15.1,6.7,0.7,8,0,0.6,25,0.08,0.2,1,p4,c8
f157,だし巻き,77,98,6.2,6.1,3.5,1,25,0,0.8,111,0.04,0.04,0,p4,c8
f158,千切り煮,77,28,1.3,0.8,4,0.6,29,36,0.3,39,0.01,0.01,0,p4,c8
f159,マカロニサラダ,77,136,1.8,9.6,10.4,0.6,7,3,0.4,26,0.03,0.03,0,p4,c8
f160,スライスオクラ,77,15,1.1,0.1,3.8,0,45,50,0.3,30,0.05,0.05,4,p4,c8
f161,焼きプリンタルト,88,125,1.8,7,13.3,0.1,42,0,0.1,13,0.02,0.06,0,p4,c8
f162,鶏と野菜の黒酢あんかけ,374,496,12.1,29.1,46.9,3.4,62,128,1.3,44,0.17,0.16,14,p5,c1
f163,豚すき煮,286,261,21,14.4,14.3,2.3,87,77,2.7,59,0.52,0.29,14,p5,c1
f164,豚キムチ炒め,286,258,12,18.7,13.7,1.9,65,170,1,14,0.4,0.18,50,p5,c1
f165,Ｅローストンカツごまソース,286,438,16,29.3,26.9,2.3,82,0,1,5,0.43,0.09,0,p5,c1
f166,E油淋ハンバーグ,242,241,15.3,12.4,15.8,2.1,36,28,1.3,22,0.12,0.13,4,p5,c1
f167,鯖生姜煮,242,195,9.5,14.2,5.6,0.8,5,0,0.6,23,0.08,0.2,1,p5,c1
f168,牛肉コロッケ,121,234,3,15.4,21.1,0.6,7,1,0.4,0,0.05,0.02,6,p5,c1
f169,韓国風冷しゃぶサラダ,198,160,10,10.8,7.5,1.3,33,83,0.7,5,0.35,0.13,10,p5,c2
f170,オクラ巣ごもり玉子,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,p5,c2
f171,ほうれん草ひじき和え,99,61,5.2,2.1,5.4,0.7,59,23,0.8,111,0.02,0.05,4,p5,c2
f172,蒸し鶏とオクラのゆず味噌,99,41,4.9,0.4,5.2,0.7,39,40,0.4,25,0.06,0.06,4,p5,c2
f173,ほうれん草,77,14,1.8,0.2,2.1,0.2,63,63,0.8,275,0.04,0.08,12,p5,c2
f174,だし巻き,77,98,6.2,6.1,3.5,1,25,0,0.8,111,0.04,0.04,0,p5,c2
f175,ポテトサラダ,77,98,0.9,6,10,0.6,3,3,0.1,16,0.03,0.01,6,p5,c2
f176,ミニサラダ,55,6,0.3,0.1,1.6,0,11,33,0.1,7,0.01,0.01,9,p5,c2
f177,納豆,55,63,5.5,3.2,4.3,0.4,28,0,1,0,0.02,0.17,0,p5,c2
f178,味噌汁,44,38,2.1,1.9,2.8,1.2,28,0,0.5,1,0,0.01,0,p5,c2
f179,白玉フルーツポンチ,132,99,0.7,0.1,24.2,0,3,0,0.2,8,0.02,0.01,29,p5,c5
f180,大学芋,110,157,0.6,3.2,31.7,0,15,0,0.3,1,0.05,0.03,10,p5,c5
f181,さつま芋と栗のタルト,88,107,0.7,4.9,15.2,0,63,0,5.2,0,0.02,0.01,4,p5,c5
f182,チョコクレープ,88,86,0.8,5.2,8.4,0.1,8,0,0.1,3,0.01,0.02,0,p5,c5
f183,ライス大,147,484,7.8,0.9,115,0,9,0,0.3,0,0.06,0.03,0,p5,c7
f184,ライス中,126105147,374,6,0.7,89,0,7,0,0.2,0,0.05,0.02,0,p5,c7
f185,ライス小,105,265,4.3,0.5,63.1,0,5,0,0.2,0,0.03,0.02,0,p5,c7
f186,ライスミニ,84,156,2.5,0.3,37.1,0,3,0,0.1,0,0.02,0.01,0,p5,c7
f187,欧風カレー,473,601,13.6,15.3,105.6,2.3,32,43,0.9,14,0.09,0.07,4,p5,c4
f188,欧風カツカレー,594,882,24.8,35,119.6,2.9,38,43,1.2,17,0.4,0.13,4,p5,c4
f189,キムチーズ天津,583,1083,36.4,58,107.5,5.7,226,21,3.7,-1,-1,-1,-1,p5,c4
f190,館下天津カレー,583,1030,34.5,50,114.2,4.7,130,7,-1,-1,-1,-1,-1,p5,c4
f191,㊊　ローストチキン焼き鳥のたれ,374,413,33.1,26,14,3.8,57,40,1.8,264,0.21,0.35,13,p6,c1
f192,㊊　焼鯖の南蛮漬け,374,499,20.2,36.7,26.9,6,22,25,1.3,123,0.16,0.42,5,p6,c1
f193,㊋　天ぷら盛り合わせ,374,371,18,14.2,47,2.4,76,20,1.2,35,0.19,0.47,20,p6,c1
f194,㊋　ハンバーグきのこクリーム,374,267,17.4,14.6,17.6,1.8,65,43,1.6,44,0.2,0.24,14,p6,c1
f195,㊌　煮込みハンバーグ,374,324,16.9,14.9,31.8,3.1,51,67,1.7,160,0.19,0.16,24,p6,c1
f196,㊌　野菜たっぷり豚肉と野菜の生姜炒め,374,232,17.7,12,17,2.3,53,164,1,123,0.59,0.25,57,p6,c1
f197,㊍　鶏肉の香草焼き,374,441,32.1,29.1,14.9,1.5,31,20,1.7,91,0.24,0.31,27,p6,c1
f198,㊍　ポトフ風,374,241,9.7,17,15.3,2.4,42,94,0.9,114,0.28,0.13,61,p6,c1
f199,㊎　白身フライ明太子ソース,374,439,13,27.4,22.8,2.5,34,40,0.6,23,0.12,0.1,13,p6,c1
f200,㊎　豚肉きのこ炒め,374,250,20.2,14.8,11.6,1.7,22,69,1,11,0.72,0.3,10,p6,c1
f201,㊊㊌㊍　ローストンカツ和風玉子あんかけ,330,364,14.9,20.9,28.6,3.1,25,21,0.8,107,0.33,0.15,3,p6,c1
f202,㊊㊋㊌　味噌チキンカツ,330,400,19.1,22,31.9,1.8,76,40,1.8,186,0.09,0.12,10,p6,c1
f203,塩豚カルビ　㊋㊎,330,220,8.6,19.4,3.4,1.7,44,40,0.8,181,0.54,0.11,9,p6,c1
f204,チキンソースカツ　㊍㊎,330,354,17.4,20.5,24.9,2.3,50,40,1,187,0.09,0.11,10,p6,c1
f205,蒸し鶏サラダ,121,47,4.8,0.7,7,0.2,19,60,0.3,4,0.06,0.04,18,p6,c2
f206,春巻き,121,305,3.9,23.1,20.7,1,16,13,0.4,11,0.04,0.03,2,p6,c2
f207,蒸し鶏とオクラのゆず味噌　㊊㊋㊌,99,41,4.9,0.4,5.2,0.7,39,40,0.4,25,0.06,0.06,4,p6,c2
f208,オクラ巣ごもり玉子　㊍㊎,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,p6,c2
f209,さっぱり揚げ出し茄子,99,139,1.3,12.1,8.1,0.8,23,93,0.4,2,0.05,0.03,7,p6,c2
f210,ブロッコリーピーナッツ和え,99,44,3.7,1.7,5.5,0.5,31,71,0.7,49,0.05,0.06,39,p6,c2
f211,キムチ豆腐,99,66,4.9,3,5.8,1.3,37,27,1.1,5,0.1,0.04,5,p6,c2
f212,ほうれん草,77,14,1.8,0.2,2.1,0.2,63,63,0.8,275,0.04,0.08,12,p6,c2
f213,だし巻き　㊊㊋,77,98,6.2,6.1,3.5,1,25,0,0.8,111,0.04,0.04,0,p6,c2
f214,卯の花　㊍㊎,77,34,1.3,1.2,4.4,0.5,13,3,0.3,8,0.02,0.01,1,p6,c2
f215,豚汁,121,91,5.4,3.4,9.9,1.5,29,54,0.8,110,0.16,0.07,4,p6,c2
f216,温玉ぶっかけうどん,352,410,14.5,7.7,71.9,3.3,57,5,1.9,94,0.08,0.27,21,p6,c3
f217,欧風カツカレー　㊊㊌㊍㊎,594,882,24.8,35,119.6,2.9,38,43,1.2,17,0.4,0.13,4,p6,c4
f218,欧風カレー　㊊㊌㊍㊎,473,601,13.6,15.3,105.6,2.3,32,43,0.9,14,0.09,0.07,4,p6,c4
f219,ふわふわパンケーキ,132,150,3.6,8,16.1,0.3,16,0,0.1,6,0.02,0.06,51,p6,c5
f220,ライス中,126,374,6,0.7,89,0,7,0,0.2,0,0.05,0.02,0,p6,c7
f221,ライス小,105,265,4.3,0.5,63.1,0,5,0,0.2,0,0.03,0.02,0,p6,c7
f222,ライスミニ,84,156,2.5,0.3,37.1,0,3,0,0.1,0,0.02,0.01,0,p6,c7
f223,匠）とり天,418,565,25.7,39.6,31.5,3.7,90,73,1.4,51,0.19,0.51,28,p7,c1
f224,匠）ハンバーグネギポン酢＆チキンカツ,418,402,23.9,22.8,24.8,3.3,61,66,1.8,40,0.18,0.18,20,p7,c1
f225,匠）プルコギ風焼き肉,374,284,9.5,20.6,18.6,1.9,41,89,1.5,178,0.09,0.12,10,p7,c1
f226,匠）夏野菜のトマト煮,330,256,8.9,16.7,22.9,1.3,44,110,1.2,46,0.18,0.15,28,p7,c1
f227,ブリの甘酢あん,242,127,6.4,7.4,7.6,0.5,2,0,0.4,14,0.07,0.11,1,p7,c2
f228,アジフライ,121,314,9.4,24,14.4,0.6,30,0,0.3,3,0.08,0.06,0,p7,c2
f229,オクラ巣ごもり玉子,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,p7,c2
f230,鶏きも煮,99,66,8.6,1.4,4.6,0.5,3,0,4.1,6222,0.17,0.81,9,p7,c2
f231,春雨しそサラダ,99,26,0.5,0,6.2,0.6,12,37,0.2,17,0.01,0,4,p7,c2
f232,茄子のゆず味噌,99,134,1.1,12.2,6.1,0.5,9,67,0.4,1,0.04,0.03,1,p7,c2
f233,千切り煮,77,28,1.3,0.8,4,0.6,29,36,0.3,39,0.01,0.01,0,p7,c2
f234,フルーツヨーグルト,132,78,2.7,2.2,12.9,0.1,89,0,0.1,29,0.04,0.1,20,p7,c2
f235,焼きプリンタルト,88,125,1.8,7,13.3,0.1,42,0,0.1,13,0.02,0.06,0,p7,c2
f236,豚汁,121,91,5.4,3.4,9.9,1.5,29,54,0.8,110,0.16,0.07,4,p7,c2
f237,味噌汁,44,38,2.1,1.9,2.8,1.2,28,0,0.5,1,0,0.01,0,p7,c2
